Target Gene,Target Gene (Entrez Gene ID),mir_target
HIF1A,3091,1
CXCR4,7852,1
CYP7A1,1581,1
STAT5A,6776,1
RASGRP1,10125,1
DNMT1,1786,1
TP53INP1,94241,1
MMP13,4322,1
REST,5978,1
CDH1,999,1
NTRK3,4916,1
SNCA,6622,1
MTA1,9112,1
GRN,2896,1
EYA1,2138,1
ERBB2,2064,1
RUNX3,864,1
DRD1,1812,1
MIF,4282,1
ZEB2,9839,1
TIMM8A,1678,1
MTPN,136319,1
PDK1,5163,1
RAD23B,5887,1
WEE1,7465,1
TRPS1,7227,1
MBNL2,10150,1
KLF13,51621,1
BCL2,596,1
CREB1,1385,1
BIRC3,330,1
GRM7,2917,1
JAG1,182,1
EFEMP2,30008,1
BACE1,23621,1
ABCG2,9429,1
GLI1,2735,1
RHOA,387,1
TGFB3,7043,1
HDAC4,9759,1
CTNNBIP1,56998,1
COL5A3,50509,1
COL4A2,1284,1
COL1A1,1277,1
RUNX1,861,1
HMGA2,8091,1
HMGA1,3159,1
CCNE2,9134,1
CCND2,894,1
FEN1,2237,1
CDK4,1019,1
CCNA2,890,1
AURKB,9212,1
MYC,4609,1
E2F2,1870,1
MEF2C,4208,1
STMN1,3925,1
LMO2,4005,1
CDKN1B,1027,1
BCL2L11,10018,1
SOD2,6648,1
MMP1,4312,1
BMF,90427,1
SIRT1,23411,1
EZH2,2146,1
HOXA9,3205,1
TP53I11,9537,1
PIM1,5292,1
HOXA1,3198,1
FGFRL1,53834,1
RAD52,5893,1
CDC25A,993,1
PYM1,84305,0
WFS1,7466,1
TM9SF3,56889,1
RTN4,57142,1
RPS7,6201,1
PLOD3,8985,1
PDHA2,5161,1
NCAPG,64151,1
DERL1,79139,1
BASP1,10409,1
TCEAL1,9338,1
CCND1,595,1
E2F1,1869,1
BMPR2,659,1
MET,4233,1
MEIS1,4211,1
HOXA10,3206,1
TUBB3,10381,1
BMI1,648,1
PTPN12,5782,1
DLX5,1749,1
HES1,3280,1
TSPAN3,10099,1
ACVR1,90,1
SPRR2C,6702,1
S100A9,6280,1
KRT5,3852,1
E2F3,1871,1
CDK6,1021,1
KRAS,3845,1
NLK,51701,1
GATA6,2627,1
CDX2,1045,1
ZNFX1,57169,1
CCL1,6346,1
GPR137B,7107,1
NABP1,64859,1
NPAT,4863,1
YES1,7525,1
CDK1,983,1
CCNE1,898,1
WNT3A,89780,1
MYB,4602,1
TAB2,23118,1
HLA-G,3135,1
TGIF2,60436,1
CFH,3075,1
IRAK2,3656,1
BNIP3,664,1
KLF5,688,1
SOX2,6657,1
KLF4,9314,1
ZEB1,6935,1
CDC42,998,1
HCN4,10021,1
UCP2,7351,1
KRT7,3855,1
SPRED1,161742,1
PLK2,10769,1
BMPR1B,658,1
EIF4EBP1,1978,1
SOX9,6662,1
BDNF,627,1
IGF1R,3480,1
SRF,6722,1
PLAG1,5324,1
ITCH,83737,1
APP,351,1
MYCN,4613,1
ATXN1,6310,1
PLK1,5347,1
MYEF2,50804,1
CDK9,1025,1
CEBPA,1050,1
MEF2A,4205,1
GATA4,2626,1
AKT2,208,1
MUC1,4582,1
FOXO3,2309,1
MECP2,4204,1
SP1,6667,1
ING4,51147,1
TLR2,7097,1
KLK10,5655,1
SOCS1,8651,1
MYO6,4646,1
MSH6,2956,1
MSH2,4436,1
MLH1,4292,1
NKIRAS2,28511,1
CYP8B1,1582,1
COL1A2,1278,1
MCM2,4171,1
EFNB1,1947,1
ROBO1,6091,1
JAK1,3716,1
PPP2R2A,5520,1
LATS2,26524,1
ARHGEF3,50650,1
ROCK2,9475,1
RHOC,389,1
STAT3,6774,1
PTEN,5728,1
CAB39,51719,1
SMO,6608,1
TP53,7157,1
ACVR2A,92,1
CDKN1A,1026,1
RECK,8434,1
STAT1,6772,1
PPARA,5465,1
INPP5D,3635,1
TIMP3,7078,1
FADD,8772,1
POU2F2,5452,1
BCL6,604,1
ETS1,2113,1
CCNF,899,1
CHEK1,1111,1
AGO1,26523,1
ATF6,22926,1
ANLN,54443,1
CDC14A,8556,1
KIF23,9493,1
RAC1,5879,1
NOTCH3,4854,1
TNC,3371,1
PAK1,5058,1
SUFU,51684,1
SPRY2,10253,1
CBFB,865,1
PPP3CA,5530,1
CLINT1,9685,1
TGFBR1,7046,1
ESR1,2099,1
JAK2,3717,1
ITGB3,3690,1
ANXA1,301,1
TRAF6,7189,1
IRAK1,3654,1
DNMT3A,1788,1
CDKN1C,1028,1
VEGFA,7422,1
BAP1,8314,1
GEMIN2,8487,1
IRS1,3667,1
PARP8,79668,1
E2F5,1875,1
CDC25C,995,1
CAV1,857,1
RAB9B,51209,1
PDGFRB,5159,1
G3BP2,9908,1
PCDH8,5100,1
RAB30,27314,1
ETS2,2114,1
MED6,10001,1
JUNB,3726,1
IGF2BP2,10644,1
SLC45A3,85414,1
ACTR1A,10121,1
TPI1,7167,1
PDCD4,27250,1
RAB21,23011,1
WT1,7490,1
ASXL2,55252,1
TMEM251,26175,1
CARD8,22900,1
CDC14B,8555,1
CENPJ,55835,1
CEP63,80254,1
CREBL2,1389,1
ECHDC1,55862,1
GOLGA5,9950,1
GOLPH3L,55204,1
GTF2H1,2965,1
H3F3B,3021,1
HACE1,57531,1
HDHD2,84064,1
HERC6,55008,1
RIDA,10247,1
HSDL2,84263,1
HSPA1A,3303,1
JUN,3725,1
MCL1,4170,1
OMA1,115209,1
OSGEPL1,64172,0
PDCD6IP,10015,1
PHKB,5257,1
PMS1,5378,0
PNN,5411,1
PRIM1,5557,1
RAD51C,5889,1
RHOT1,55288,1
RNASEL,6041,1
SLC35A1,10559,1
SLC35B3,51000,1
TIA1,7072,1
UGDH,7358,1
UGP2,7360,1
ZNF559,84527,1
COL3A1,1281,1
CCND3,896,1
ROCK1,6093,1
UVRAG,7405,1
DNMT3B,1789,1
HOXA5,3202,1
SOX5,6660,1
MTAP,4507,1
RGS3,5998,1
TOM1,10043,1
DET1,55070,1
SMAD5,4090,1
HIVEP2,3097,1
ZNF652,22834,1
ZIC3,7547,1
PTPRO,5800,1
PRMT5,10419,1
CD44,960,1
PPM1A,5494,1
SOD1,6647,1
CDK8,1024,1
CDC6,990,1
LIF,3976,1
HOXB8,3218,1
BACH1,571,1
FOXP1,27086,1
EFNA1,1942,1
NUP93,9688,1
MRPS27,23107,1
EBP,10682,1
LAMB3,3914,1
DCX,1641,1
RELN,5649,1
MAP3K8,1326,1
JARID2,3720,1
BCL2L2,599,1
FOXO1,2308,1
RBMXL1,494115,1
CBX7,23492,1
RHOB,388,1
SET,6418,1
BTK,695,1
MAFB,9935,1
PKD2,5311,1
LRP1,4035,1
NR3C2,4306,1
CTNNB1,1499,1
PRAP1,118471,1
FOXP3,50943,1
FMOD,2331,1
TGFBR2,7048,1
RAN,5901,1
VDR,7421,1
GRB2,2885,1
RAB34,83871,1
CACNA1C,775,1
HCN2,610,1
APC,324,1
TGFBI,7045,1
PHB,5245,1
FOS,2353,1
LRRFIP1,9208,1
MARCKS,4082,1
RARG,5916,1
CDC34,997,1
SEC24D,9871,1
WNT1,7471,1
AXIN2,8313,1
